Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country,Revenue,OrderMonth
578026,23111,PARISIENNE SEWING BOX,1,22-11-11 13:29,12.5,17659,United Kingdom,12.5,2011-11-01
544286,21063,PARTY INVITES JAZZ HEARTS,5,17-02-11 12:29,0.85,13151,United Kingdom,4.25,2011-02-01
567615,23379,PACK OF 12 RED APPLE TISSUES,12,21-09-11 12:14,0.39,13316,United Kingdom,4.68,2011-09-01
558483,48187,DOORMAT NEW ENGLAND,2,30-06-11 9:59,7.95,18171,United Kingdom,15.9,2011-06-01
565141,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,1,01-09-11 13:40,1.25,17841,United Kingdom,1.25,2011-09-01
538640,22082,RIBBON REEL STRIPES DESIGN ,5,13-12-10 14:32,1.65,17524,United Kingdom,8.25,2010-12-01
580520,22119,PEACE WOODEN BLOCK LETTERS,1,04-12-11 14:55,1.95,13521,United Kingdom,1.95,2011-12-01
578950,23503,PLAYING CARDS KEEP CALM & CARRY ON,1,27-11-11 14:40,1.25,17885,United Kingdom,1.25,2011-11-01
553158,21621,VINTAGE UNION JACK BUNTING,2,13-05-11 15:24,8.5,14194,United Kingdom,17,2011-05-01
562219,85231B,CINAMMON SET OF 9 T-LIGHTS,12,03-08-11 14:14,0.85,15089,United Kingdom,10.2,2011-08-01
546556,21181,PLEASE ONE PERSON METAL SIGN,12,15-03-11 9:32,2.1,16156,United Kingdom,25.2,2011-03-01
547204,22348,TEA BAG PLATE RED RETROSPOT,12,21-03-11 13:58,0.85,13491,United Kingdom,10.2,2011-03-01
568786,23199,JUMBO BAG APPLES,20,29-09-11 9:16,2.08,15144,United Kingdom,41.6,2011-09-01
546563,23194,GYMKHANNA TREASURE BOOK BOX,8,15-03-11 10:49,2.25,15047,United Kingdom,18,2011-03-01
568346,82582,AREA PATROLLED METAL SIGN,1,26-09-11 15:28,4.13,14096,United Kingdom,4.13,2011-09-01
578814,23351,ROLL WRAP 50'S CHRISTMAS,1,25-11-11 13:40,1.25,12748,United Kingdom,1.25,2011-11-01
573083,23553,LANDMARK FRAME CAMDEN TOWN ,2,27-10-11 14:22,12.5,13735,United Kingdom,25,2011-10-01
573370,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,30-10-11 13:30,8.25,16626,United Kingdom,16.5,2011-10-01
562146,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,8,03-08-11 10:45,4.95,17675,United Kingdom,39.6,2011-08-01
544568,22138,BAKING SET 9 PIECE RETROSPOT ,6,21-02-11 12:54,4.95,15065,United Kingdom,29.7,2011-02-01
580712,21498,RED RETROSPOT WRAP ,25,05-12-11 16:37,0.42,13021,United Kingdom,10.5,2011-12-01
564724,22556,PLASTERS IN TIN CIRCUS PARADE ,2,28-08-11 12:16,1.65,15555,United Kingdom,3.3,2011-08-01
547793,22797,CHEST OF DRAWERS GINGHAM HEART ,2,25-03-11 12:10,16.95,14758,United Kingdom,33.9,2011-03-01
559535,47590A,BLUE HAPPY BIRTHDAY BUNTING,1,10-07-11 12:16,5.45,17841,United Kingdom,5.45,2011-07-01
544646,22900, SET 2 TEA TOWELS I LOVE LONDON ,2,22-02-11 12:06,2.95,17075,United Kingdom,5.9,2011-02-01
559546,15060B,FAIRY CAKE DESIGN UMBRELLA,12,10-07-11 14:49,3.75,14163,United Kingdom,45,2011-07-01
561635,84978,HANGING HEART JAR T-LIGHT HOLDER,12,28-07-11 14:35,1.25,16912,United Kingdom,15,2011-07-01
557232,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,12,17-06-11 14:28,2.95,12463,Belgium,35.4,2011-06-01
555488,85099C,JUMBO  BAG BAROQUE BLACK WHITE,2,03-06-11 13:43,2.08,16942,United Kingdom,4.16,2011-06-01
558995,21208,PASTEL COLOUR HONEYCOMB FAN,12,05-07-11 12:03,0.39,17671,United Kingdom,4.68,2011-07-01
580153,82567,"AIRLINE LOUNGE,METAL SIGN",12,02-12-11 10:23,2.1,12762,Portugal,25.2,2011-12-01
562880,85099B,JUMBO BAG RED RETROSPOT,200,10-08-11 10:53,1.79,15838,United Kingdom,358,2011-08-01
544391,22843,BISCUIT TIN VINTAGE GREEN,2,18-02-11 11:53,6.75,15755,United Kingdom,13.5,2011-02-01
550515,22335,HEART DECORATION PAINTED ZINC ,2,18-04-11 17:29,0.65,14502,United Kingdom,1.3,2011-04-01
546984,22107,PIZZA PLATE IN BOX,1,18-03-11 12:35,3.75,15019,United Kingdom,3.75,2011-03-01
572051,23515,EMBROIDERED RIBBON REEL DAISY ,144,20-10-11 12:24,1.79,14646,Netherlands,257.76,2011-10-01
570448,22694,WICKER STAR ,6,10-10-11 14:55,2.1,13224,United Kingdom,12.6,2011-10-01
550125,22960,JAM MAKING SET WITH JARS,6,14-04-11 12:42,4.25,13317,United Kingdom,25.5,2011-04-01
559000,22617,BAKING SET SPACEBOY DESIGN,2,05-07-11 12:15,4.95,14099,United Kingdom,9.9,2011-07-01
559525,21756,BATH BUILDING BLOCK WORD,4,10-07-11 10:30,5.95,16923,United Kingdom,23.8,2011-07-01
560491,23240,SET OF 4 KNICK KNACK TINS DOILEY ,1,19-07-11 10:51,4.15,12415,Australia,4.15,2011-07-01
537891,22930,BAKING MOULD HEART MILK CHOCOLATE,6,09-12-10 10:05,2.55,13319,United Kingdom,15.3,2010-12-01
563928,21175,GIN + TONIC DIET METAL SIGN,1,21-08-11 15:17,2.55,17059,United Kingdom,2.55,2011-08-01
571217,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,14-10-11 13:24,4.95,17451,United Kingdom,14.85,2011-10-01
544065,47567B,TEA TIME KITCHEN APRON,3,15-02-11 13:52,5.95,14346,United Kingdom,17.85,2011-02-01
558768,82482,WOODEN PICTURE FRAME WHITE FINISH,1,03-07-11 13:33,2.55,15952,United Kingdom,2.55,2011-07-01
570230,22091,EMPIRE TISSUE BOX,2,09-10-11 13:41,0.39,18088,United Kingdom,0.78,2011-10-01
563917,22659,LUNCH BOX I LOVE LONDON,2,21-08-11 13:46,1.95,14572,United Kingdom,3.9,2011-08-01
558702,21368,MIRRORED WALL ART LADIES,3,01-07-11 12:45,0.75,12748,United Kingdom,2.25,2011-07-01
579283,22842,BISCUIT TIN VINTAGE RED,2,29-11-11 10:45,6.75,13883,United Kingdom,13.5,2011-11-01
572023,21121,SET/10 RED POLKADOT PARTY CANDLES,1,20-10-11 11:03,1.25,17764,United Kingdom,1.25,2011-10-01
553463,23140,TRIPLE WIRE HOOK IVORY HEART,8,17-05-11 11:02,4.15,13488,United Kingdom,33.2,2011-05-01
550515,21533,RETROSPOT LARGE MILK JUG,1,18-04-11 17:29,4.95,14502,United Kingdom,4.95,2011-04-01
550297,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,3,15-04-11 15:58,2.95,14056,United Kingdom,8.85,2011-04-01
573898,23426,METAL SIGN DROP YOUR PANTS,4,01-11-11 14:35,2.89,14562,United Kingdom,11.56,2011-11-01
565388,22189,CREAM HEART CARD HOLDER,2,02-09-11 15:56,3.95,14415,United Kingdom,7.9,2011-09-01
547485,22970,LONDON BUS COFFEE MUG,1,23-03-11 11:16,2.55,17019,United Kingdom,2.55,2011-03-01
542243,21033,JUMBO BAG CHARLIE AND LOLA TOYS,1,26-01-11 15:00,2.95,17841,United Kingdom,2.95,2011-01-01
581456,23395,BELLE JARDINIERE CUSHION COVER,2,08-12-11 18:42,3.75,17530,United Kingdom,7.5,2011-12-01
553869,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,20,19-05-11 14:27,2.08,15394,United Kingdom,41.6,2011-05-01
573398,22481,BLACK TEA TOWEL CLASSIC DESIGN,6,30-10-11 15:28,1.25,17373,United Kingdom,7.5,2011-10-01
556054,22784,LANTERN CREAM GAZEBO ,3,08-06-11 13:26,4.95,14561,United Kingdom,14.85,2011-06-01
559199,23285,PINK VINTAGE SPOT BEAKER,16,07-07-11 10:28,0.85,15288,United Kingdom,13.6,2011-07-01
573903,23535,WALL ART BICYCLE SAFETY,6,01-11-11 14:51,5.95,14667,United Kingdom,35.7,2011-11-01
575701,48187,DOORMAT NEW ENGLAND,4,10-11-11 16:59,8.25,13396,United Kingdom,33,2011-11-01
561926,23147,SINGLE ANTIQUE ROSE HOOK IVORY,12,01-08-11 12:48,1.45,12749,United Kingdom,17.4,2011-08-01
564745,84978,HANGING HEART JAR T-LIGHT HOLDER,12,28-08-11 15:27,1.25,16806,United Kingdom,15,2011-08-01
537852,22727,ALARM CLOCK BAKELIKE RED ,8,08-12-10 15:56,3.75,17340,United Kingdom,30,2010-12-01
551387,22675,FRENCH KITCHEN SIGN BLUE METAL,12,28-04-11 11:40,1.25,14240,United Kingdom,15,2011-04-01
566959,23210,WHITE ROCKING HORSE HAND PAINTED,8,15-09-11 17:00,1.25,17530,United Kingdom,10,2011-09-01
580651,23452,HEART MINI PORTRAIT FRAME,6,05-12-11 13:32,1.95,16851,United Kingdom,11.7,2011-12-01
553638,22282,12 EGG HOUSE PAINTED WOOD,2,18-05-11 10:56,12.75,14180,United Kingdom,25.5,2011-05-01
562161,21906,PHARMACIE FIRST AID TIN,1,03-08-11 11:58,6.75,17841,United Kingdom,6.75,2011-08-01
580669,23298,SPOTTY BUNTING,18,05-12-11 14:25,4.95,15159,United Kingdom,89.1,2011-12-01
565236,23251,VINTAGE RED ENAMEL TRIM MUG ,12,02-09-11 9:45,1.25,14276,United Kingdom,15,2011-09-01
542112,85152,HAND OVER THE CHOCOLATE   SIGN ,1,25-01-11 13:55,2.1,13168,United Kingdom,2.1,2011-01-01
540372,84674,FLYING PIG WATERING CAN,24,06-01-11 16:41,1.25,13081,United Kingdom,30,2011-01-01
576062,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,8,13-11-11 15:30,0.65,12867,United Kingdom,5.2,2011-11-01
580865,22650,CERAMIC PIRATE CHEST MONEY BANK,1,06-12-11 11:58,1.45,17914,United Kingdom,1.45,2011-12-01
538836,79403,FROSTED WHITE BASE ,1,14-12-10 13:09,0.85,12748,United Kingdom,0.85,2010-12-01
547541,21931,JUMBO STORAGE BAG SUKI,100,23-03-11 15:22,1.65,14607,United Kingdom,165,2011-03-01
551616,47599A,PINK PARTY BAGS,1,03-05-11 11:40,2.1,15048,United Kingdom,2.1,2011-05-01
543131,22260,FELT EGG COSY BLUE RABBIT ,12,03-02-11 15:23,0.85,13539,United Kingdom,10.2,2011-02-01
553912,22730,ALARM CLOCK BAKELIKE IVORY,4,19-05-11 19:32,3.75,15122,United Kingdom,15,2011-05-01
537755,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,08-12-10 11:31,2.55,16525,United Kingdom,81.6,2010-12-01
550331,22564,ALPHABET STENCIL CRAFT,2,17-04-11 13:43,1.25,15555,United Kingdom,2.5,2011-04-01
555565,22779,WOODEN OWLS LIGHT GARLAND ,4,05-06-11 15:06,4.25,15298,United Kingdom,17,2011-06-01
553060,84879,ASSORTED COLOUR BIRD ORNAMENT,24,13-05-11 10:44,1.69,15826,United Kingdom,40.56,2011-05-01
545063,21563,RED HEART SHAPE LOVE BUCKET ,1,27-02-11 14:26,2.95,14606,United Kingdom,2.95,2011-02-01
580298,84805A,CREAM CLIMBING HYDRANGA ART FLOWER,12,02-12-11 13:54,1.25,17086,United Kingdom,15,2011-12-01
563384,71053,WHITE METAL LANTERN,2,16-08-11 10:52,3.75,17315,United Kingdom,7.5,2011-08-01
580276,22633,HAND WARMER UNION JACK,9,02-12-11 12:59,2.1,16426,United Kingdom,18.9,2011-12-01
566976,22149,FELTCRAFT 6 FLOWER FRIENDS,6,16-09-11 9:27,2.1,15382,United Kingdom,12.6,2011-09-01
567076,47504H,ENGLISH ROSE SPIRIT LEVEL ,12,16-09-11 12:27,0.79,15505,United Kingdom,9.48,2011-09-01
577051,23516,EMBROIDERED RIBBON REEL SOPHIE  ,1,17-11-11 14:02,3.75,14034,United Kingdom,3.75,2011-11-01
544455,22467,GUMBALL COAT RACK,12,20-02-11 13:18,2.55,13097,United Kingdom,30.6,2011-02-01
545289,22980,PANTRY SCRUBBING BRUSH,12,01-03-11 11:55,1.65,14732,United Kingdom,19.8,2011-03-01
559321,22356,CHARLOTTE BAG PINK POLKADOT,10,07-07-11 14:30,0.85,17069,United Kingdom,8.5,2011-07-01
557310,22427,ENAMEL FLOWER JUG CREAM,4,19-06-11 15:33,5.95,13240,United Kingdom,23.8,2011-06-01
541406,22934,BAKING MOULD EASTER EGG WHITE CHOC,3,17-01-11 15:19,2.95,14657,United Kingdom,8.85,2011-01-01
559549,23203,JUMBO BAG DOILEY PATTERNS,2,10-07-11 15:25,2.08,13230,United Kingdom,4.16,2011-07-01
579089,23154,SET OF 4 JAM JAR MAGNETS,2,28-11-11 10:46,2.08,17920,United Kingdom,4.16,2011-11-01
543468,22671,FRENCH LAUNDRY SIGN BLUE METAL,4,08-02-11 14:45,1.65,14562,United Kingdom,6.6,2011-02-01
566298,22423,REGENCY CAKESTAND 3 TIER,1,11-09-11 15:52,12.75,14030,United Kingdom,12.75,2011-09-01
580636,22217,T-LIGHT HOLDER HANGING LACE,24,05-12-11 12:33,0.39,16746,United Kingdom,9.36,2011-12-01
548984,85049H,URBAN BLACK RIBBONS ,2,05-04-11 12:37,1.25,14546,United Kingdom,2.5,2011-04-01
536409,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,1,01-12-10 11:45,0.42,17908,United Kingdom,0.42,2010-12-01
560646,22189,CREAM HEART CARD HOLDER,83,20-07-11 11:28,2.31,18102,United Kingdom,191.73,2011-07-01
553045,21054,NURSE'S BAG SOFT TOY,19,13-05-11 9:33,8.95,12770,Japan,170.05,2011-05-01
539642,22149,FELTCRAFT 6 FLOWER FRIENDS,2,20-12-10 15:35,2.1,15867,United Kingdom,4.2,2010-12-01
569568,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,05-10-11 9:57,2.95,12700,France,17.7,2011-10-01
547651,22554,PLASTERS IN TIN WOODLAND ANIMALS,1,24-03-11 12:11,1.65,16904,United Kingdom,1.65,2011-03-01
544304,20751,FUNKY WASHING UP GLOVES ASSORTED,3,17-02-11 13:47,2.1,18125,United Kingdom,6.3,2011-02-01
536587,22466,FAIRY TALE COTTAGE NIGHTLIGHT,12,01-12-10 16:33,1.95,14142,United Kingdom,23.4,2010-12-01
560723,22077,6 RIBBONS RUSTIC CHARM,2,20-07-11 13:53,1.65,16464,United Kingdom,3.3,2011-07-01
536531,22704,WRAP RED APPLES ,25,01-12-10 13:23,0.42,15485,United Kingdom,10.5,2010-12-01
545519,84997D,CHILDRENS CUTLERY POLKADOT PINK,4,03-03-11 12:27,4.15,16159,United Kingdom,16.6,2011-03-01
574107,48184,DOORMAT ENGLISH ROSE ,2,03-11-11 10:49,8.25,13728,United Kingdom,16.5,2011-11-01
549311,22169,FAMILY ALBUM WHITE PICTURE FRAME,2,08-04-11 9:25,8.5,14924,United Kingdom,17,2011-04-01
560251,23235,STORAGE TIN VINTAGE LEAF,1,17-07-11 12:32,2.89,17774,United Kingdom,2.89,2011-07-01
559305,22906,12 MESSAGE CARDS WITH ENVELOPES,4,07-07-11 12:56,1.65,17892,United Kingdom,6.6,2011-07-01
557305,21888,BINGO SET,1,19-06-11 14:42,3.75,13568,United Kingdom,3.75,2011-06-01
581412,22632,HAND WARMER RED RETROSPOT,9,08-12-11 14:38,2.1,14415,United Kingdom,18.9,2011-12-01
580162,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,6,02-12-11 10:52,1.25,12856,United Kingdom,7.5,2011-12-01
542401,20898,VINTAGE NOTEBOOK TRAVELOGUE,1,27-01-11 15:51,2.95,14541,United Kingdom,2.95,2011-01-01
548358,21035,SET/2 RED RETROSPOT TEA TOWELS ,6,30-03-11 15:29,3.25,15832,United Kingdom,19.5,2011-03-01
541269,22509,SEWING BOX RETROSPOT DESIGN ,4,17-01-11 11:01,14.95,12626,Germany,59.8,2011-01-01
547358,21213,PACK OF 72 SKULL CAKE CASES,5,22-03-11 12:25,0.55,15998,United Kingdom,2.75,2011-03-01
580283,23434,3 RAFFIA RIBBONS 50'S CHRISTMAS ,10,02-12-11 13:20,0.79,16133,United Kingdom,7.9,2011-12-01
555854,22435,SET OF 9 HEART SHAPED BALLOONS,10,07-06-11 13:47,1.25,12748,United Kingdom,12.5,2011-06-01
549577,22027,TEA PARTY BIRTHDAY CARD,12,11-04-11 8:16,0.42,14286,United Kingdom,5.04,2011-04-01
544463,35913B,WHITE/PINK CHICK EASTER DECORATION,1,20-02-11 14:31,0.85,12988,United Kingdom,0.85,2011-02-01
557118,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,16-06-11 17:05,3.75,14849,United Kingdom,15,2011-06-01
562560,23185,FRENCH STYLE STORAGE JAR JAM,12,05-08-11 17:12,0.29,14156,EIRE,3.48,2011-08-01
556477,22960,JAM MAKING SET WITH JARS,2,12-06-11 12:20,4.25,12841,United Kingdom,8.5,2011-06-01
568152,22169,FAMILY ALBUM WHITE PICTURE FRAME,2,25-09-11 11:40,8.5,16480,United Kingdom,17,2011-09-01
544662,84378,SET OF 3 HEART COOKIE CUTTERS,1,22-02-11 14:10,1.25,12845,United Kingdom,1.25,2011-02-01
577774,22636,CHILDS BREAKFAST SET CIRCUS PARADE,2,21-11-11 15:57,8.5,16712,United Kingdom,17,2011-11-01
552951,21124,SET/10 BLUE POLKADOT PARTY CANDLES,1,12-05-11 12:05,1.25,14988,United Kingdom,1.25,2011-05-01
554520,22380,TOY TIDY SPACEBOY  ,1,24-05-11 17:03,2.1,17841,United Kingdom,2.1,2011-05-01
543379,82484,WOOD BLACK BOARD ANT WHITE FINISH,204,07-02-11 15:37,4.77,18102,United Kingdom,973.08,2011-02-01
569573,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,48,05-10-11 10:11,1.45,17511,United Kingdom,69.6,2011-10-01
