Invoice,StockCode,Description,Quantity,InvoiceDate,Price,CustomerID,Country
580258,21169,YOU'RE CONFUSING ME METAL SIGN ,48,2011-12-02 12:28:00,1.45,13798.0,United Kingdom
578627,23202,JUMBO BAG VINTAGE LEAF,20,2011-11-24 15:41:00,2.08,14709.0,United Kingdom
544059,21705,BAG 500g SWIRLY MARBLES,3,2011-02-15 13:00:00,1.65,14534.0,United Kingdom
549566,79071B,ENGLISH ROSE METAL WASTE BIN,2,2011-04-10 14:27:00,2.95,13610.0,United Kingdom
564650,23290,SPACEBOY CHILDRENS BOWL,144,2011-08-26 14:17:00,1.05,14646.0,Netherlands
580516,23378,PACK OF 12 50'S CHRISTMAS TISSUES,24,2011-12-04 14:15:00,0.39,17954.0,United Kingdom
578326,23350,ROLL WRAP VINTAGE SPOT ,12,2011-11-23 17:45:00,1.25,16343.0,United Kingdom
561330,22556,PLASTERS IN TIN CIRCUS PARADE ,12,2011-07-26 14:03:00,1.65,16019.0,United Kingdom
559061,23254,CHILDRENS CUTLERY DOLLY GIRL ,2,2011-07-06 10:04:00,4.15,17220.0,United Kingdom
537378,22339,CHRISTMAS TREE PAINTED ZINC ,24,2010-12-06 13:06:00,0.65,14911.0,EIRE
542241,85152,HAND OVER THE CHOCOLATE   SIGN ,2,2011-01-26 14:51:00,2.1,16409.0,United Kingdom
547669,23002,TRAVEL CARD WALLET SKULLS,24,2011-03-24 13:37:00,0.42,12748.0,United Kingdom
561797,23208,LUNCH BAG VINTAGE LEAF DESIGN,30,2011-07-29 13:37:00,1.65,13178.0,United Kingdom
542231,84050,PINK HEART SHAPE EGG FRYING PAN,9,2011-01-26 13:40:00,1.65,16714.0,United Kingdom
542237,22728,ALARM CLOCK BAKELIKE PINK,4,2011-01-26 14:30:00,3.75,12347.0,Iceland
550714,22294,HEART FILIGREE DOVE  SMALL,24,2011-04-20 11:12:00,1.25,15249.0,United Kingdom
562925,22606,WOODEN SKITTLES GARDEN SET,12,2011-08-10 14:51:00,12.75,17389.0,United Kingdom
575685,23535,WALL ART BICYCLE SAFETY,18,2011-11-10 15:57:00,5.35,15694.0,United Kingdom
559052,37479P,CUBIC MUG FLOCK PINK ON BROWN,6,2011-07-05 16:53:00,0.97,,United Kingdom
569386,23284,DOORMAT KEEP CALM AND COME IN,10,2011-10-03 16:48:00,7.08,15159.0,United Kingdom
550523,23078,ICE CREAM PEN LIP GLOSS ,24,2011-04-19 10:08:00,1.25,15594.0,United Kingdom
577485,21977,PACK OF 60 PINK PAISLEY CAKE CASES,2,2011-11-20 11:56:00,0.55,16360.0,United Kingdom
560103,20839,FRENCH PAISLEY CUSHION COVER ,6,2011-07-14 18:44:00,0.85,17837.0,United Kingdom
560118,21422,PORCELAIN ROSE SMALL,16,2011-07-15 10:21:00,0.85,16818.0,United Kingdom
540515,22117,METAL SIGN HER DINNER IS SERVED ,2,2011-01-09 11:54:00,2.95,15059.0,United Kingdom
557484,22055,MINI CAKE STAND  HANGING STRAWBERY,1,2011-06-20 14:36:00,1.65,14796.0,United Kingdom
561222,22748,POPPY'S PLAYHOUSE KITCHEN,6,2011-07-26 09:27:00,2.1,13588.0,United Kingdom
543983,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2011-02-15 09:20:00,1.25,16979.0,United Kingdom
568101,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,8,2011-09-23 15:21:00,4.25,15978.0,United Kingdom
581402,23337,EGG FRYING PAN MINT ,4,2011-12-08 13:45:00,2.08,14653.0,United Kingdom
557223,23147,SINGLE ANTIQUE ROSE HOOK IVORY,12,2011-06-17 13:17:00,1.45,13647.0,United Kingdom
562283,22208,WOOD STAMP SET THANK YOU,12,2011-08-04 10:43:00,0.83,15249.0,United Kingdom
561028,22616,PACK OF 12 LONDON TISSUES ,12,2011-07-24 11:06:00,0.29,17769.0,United Kingdom
580982,22090,PAPER BUNTING RETROSPOT,6,2011-12-06 16:21:00,2.95,17861.0,United Kingdom
576014,22728,ALARM CLOCK BAKELIKE PINK,3,2011-11-13 14:29:00,3.75,17218.0,United Kingdom
567182,22865,HAND WARMER OWL DESIGN,24,2011-09-18 15:21:00,2.1,13334.0,United Kingdom
555845,22666,RECIPE BOX PANTRY YELLOW DESIGN,3,2011-06-07 13:19:00,2.95,17015.0,United Kingdom
539831,22467,GUMBALL COAT RACK,6,2010-12-22 13:17:00,2.55,14606.0,United Kingdom
564171,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,24,2011-08-23 14:00:00,3.39,16133.0,United Kingdom
551351,21169,YOU'RE CONFUSING ME METAL SIGN ,12,2011-04-28 10:20:00,1.45,14298.0,United Kingdom
547822,21558,SKULL LUNCH BOX WITH CUTLERY ,6,2011-03-25 14:53:00,2.55,12668.0,Germany
542607,22195,LARGE HEART MEASURING SPOONS,2,2011-01-30 13:48:00,1.65,13148.0,United Kingdom
571654,22138,BAKING SET 9 PIECE RETROSPOT ,1,2011-10-18 12:17:00,4.95,18118.0,United Kingdom
578032,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2011-11-22 13:41:00,2.95,16633.0,United Kingdom
538708,21915,RED  HARMONICA IN BOX ,12,2010-12-14 10:43:00,1.25,16202.0,United Kingdom
538942,22835,HOT WATER BOTTLE I AM SO POORLY,2,2010-12-15 11:14:00,4.65,17346.0,United Kingdom
547703,85049C,ROMANTIC PINKS RIBBONS ,12,2011-03-24 17:10:00,1.25,12540.0,Spain
557468,23031,DRAWER KNOB CRACKLE GLAZE PINK,6,2011-06-20 13:14:00,1.65,16713.0,United Kingdom
572307,21819,GLITTER CHRISTMAS STAR ,6,2011-10-23 15:23:00,0.39,16905.0,United Kingdom
545721,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,2011-03-07 10:52:00,1.25,15039.0,United Kingdom
553909,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,2011-05-19 19:00:00,2.95,12951.0,United Kingdom
561514,22624,IVORY KITCHEN SCALES,2,2011-07-27 15:14:00,8.5,14331.0,United Kingdom
555393,84795B,SUNSET CHECK HAMMOCK,12,2011-06-02 17:00:00,6.95,14221.0,United Kingdom
550359,21935,SUKI  SHOULDER BAG,1,2011-04-18 10:41:00,1.65,17841.0,United Kingdom
559791,47566,PARTY BUNTING,8,2011-07-12 12:24:00,4.95,17675.0,United Kingdom
578026,23111,PARISIENNE SEWING BOX,1,2011-11-22 13:29:00,12.5,17659.0,United Kingdom
544286,21063,PARTY INVITES JAZZ HEARTS,5,2011-02-17 12:29:00,0.85,13151.0,United Kingdom
567615,23379,PACK OF 12 RED APPLE TISSUES,12,2011-09-21 12:14:00,0.39,13316.0,United Kingdom
558483,48187,DOORMAT NEW ENGLAND,2,2011-06-30 09:59:00,7.95,18171.0,United Kingdom
565141,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,1,2011-09-01 13:40:00,1.25,17841.0,United Kingdom
538640,22082,RIBBON REEL STRIPES DESIGN ,5,2010-12-13 14:32:00,1.65,17524.0,United Kingdom
580520,22119,PEACE WOODEN BLOCK LETTERS,1,2011-12-04 14:55:00,1.95,13521.0,United Kingdom
578950,23503,PLAYING CARDS KEEP CALM & CARRY ON,1,2011-11-27 14:40:00,1.25,17885.0,United Kingdom
553158,21621,VINTAGE UNION JACK BUNTING,2,2011-05-13 15:24:00,8.5,14194.0,United Kingdom
C570099,85099F,JUMBO BAG STRAWBERRY,-2,2011-10-07 12:11:00,1.65,13798.0,United Kingdom
562219,85231B,CINAMMON SET OF 9 T-LIGHTS,12,2011-08-03 14:14:00,0.85,15089.0,United Kingdom
546556,21181,PLEASE ONE PERSON METAL SIGN,12,2011-03-15 09:32:00,2.1,16156.0,United Kingdom
547204,22348,TEA BAG PLATE RED RETROSPOT,12,2011-03-21 13:58:00,0.85,13491.0,United Kingdom
568786,23199,JUMBO BAG APPLES,20,2011-09-29 09:16:00,2.08,15144.0,United Kingdom
546563,23194,GYMKHANNA TREASURE BOOK BOX,8,2011-03-15 10:49:00,2.25,15047.0,United Kingdom
568346,82582,AREA PATROLLED METAL SIGN,1,2011-09-26 15:28:00,4.13,14096.0,United Kingdom
578814,23351,ROLL WRAP 50'S CHRISTMAS,1,2011-11-25 13:40:00,1.25,12748.0,United Kingdom
573083,23553,LANDMARK FRAME CAMDEN TOWN ,2,2011-10-27 14:22:00,12.5,13735.0,United Kingdom
573370,21523,DOORMAT FANCY FONT HOME SWEET HOME,2,2011-10-30 13:30:00,8.25,16626.0,United Kingdom
562146,23243,SET OF TEA COFFEE SUGAR TINS PANTRY,8,2011-08-03 10:45:00,4.95,17675.0,United Kingdom
544568,22138,BAKING SET 9 PIECE RETROSPOT ,6,2011-02-21 12:54:00,4.95,15065.0,United Kingdom
580712,21498,RED RETROSPOT WRAP ,25,2011-12-05 16:37:00,0.42,13021.0,United Kingdom
564724,22556,PLASTERS IN TIN CIRCUS PARADE ,2,2011-08-28 12:16:00,1.65,15555.0,United Kingdom
547793,22797,CHEST OF DRAWERS GINGHAM HEART ,2,2011-03-25 12:10:00,16.95,14758.0,United Kingdom
559535,47590A,BLUE HAPPY BIRTHDAY BUNTING,1,2011-07-10 12:16:00,5.45,17841.0,United Kingdom
544646,22900, SET 2 TEA TOWELS I LOVE LONDON ,2,2011-02-22 12:06:00,2.95,17075.0,United Kingdom
559546,15060B,FAIRY CAKE DESIGN UMBRELLA,12,2011-07-10 14:49:00,3.75,14163.0,United Kingdom
561635,84978,HANGING HEART JAR T-LIGHT HOLDER,12,2011-07-28 14:35:00,1.25,16912.0,United Kingdom
557232,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,12,2011-06-17 14:28:00,2.95,12463.0,Belgium
555488,85099C,JUMBO  BAG BAROQUE BLACK WHITE,2,2011-06-03 13:43:00,2.08,16942.0,United Kingdom
558995,21208,PASTEL COLOUR HONEYCOMB FAN,12,2011-07-05 12:03:00,0.39,17671.0,United Kingdom
580153,82567,"AIRLINE LOUNGE,METAL SIGN",12,2011-12-02 10:23:00,2.1,12762.0,Portugal
562880,85099B,JUMBO BAG RED RETROSPOT,200,2011-08-10 10:53:00,1.79,15838.0,United Kingdom
544391,22843,BISCUIT TIN VINTAGE GREEN,2,2011-02-18 11:53:00,6.75,15755.0,United Kingdom
550515,22335,HEART DECORATION PAINTED ZINC ,2,2011-04-18 17:29:00,0.65,14502.0,United Kingdom
546984,22107,PIZZA PLATE IN BOX,1,2011-03-18 12:35:00,3.75,15019.0,United Kingdom
572051,23515,EMBROIDERED RIBBON REEL DAISY ,144,2011-10-20 12:24:00,1.79,14646.0,Netherlands
570448,22694,WICKER STAR ,6,2011-10-10 14:55:00,2.1,13224.0,United Kingdom
550125,22960,JAM MAKING SET WITH JARS,6,2011-04-14 12:42:00,4.25,13317.0,United Kingdom
559000,22617,BAKING SET SPACEBOY DESIGN,2,2011-07-05 12:15:00,4.95,14099.0,United Kingdom
559525,21756,BATH BUILDING BLOCK WORD,4,2011-07-10 10:30:00,5.95,16923.0,United Kingdom
560491,23240,SET OF 4 KNICK KNACK TINS DOILEY ,1,2011-07-19 10:51:00,4.15,12415.0,Australia
537891,22930,BAKING MOULD HEART MILK CHOCOLATE,6,2010-12-09 10:05:00,2.55,13319.0,United Kingdom
563928,21175,GIN + TONIC DIET METAL SIGN,1,2011-08-21 15:17:00,2.55,17059.0,United Kingdom
571217,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-10-14 13:24:00,4.95,17451.0,United Kingdom
544065,47567B,TEA TIME KITCHEN APRON,3,2011-02-15 13:52:00,5.95,14346.0,United Kingdom
558768,82482,WOODEN PICTURE FRAME WHITE FINISH,1,2011-07-03 13:33:00,2.55,15952.0,United Kingdom
570230,22091,EMPIRE TISSUE BOX,2,2011-10-09 13:41:00,0.39,18088.0,United Kingdom
563917,22659,LUNCH BOX I LOVE LONDON,2,2011-08-21 13:46:00,1.95,14572.0,United Kingdom
558702,21368,MIRRORED WALL ART LADIES,3,2011-07-01 12:45:00,0.75,12748.0,United Kingdom
579283,22842,BISCUIT TIN VINTAGE RED,2,2011-11-29 10:45:00,6.75,13883.0,United Kingdom
572023,21121,SET/10 RED POLKADOT PARTY CANDLES,1,2011-10-20 11:03:00,1.25,17764.0,United Kingdom
553463,23140,TRIPLE WIRE HOOK IVORY HEART,8,2011-05-17 11:02:00,4.15,13488.0,United Kingdom
550515,21533,RETROSPOT LARGE MILK JUG,1,2011-04-18 17:29:00,4.95,14502.0,United Kingdom
550297,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,3,2011-04-15 15:58:00,2.95,14056.0,United Kingdom
573898,23426,METAL SIGN DROP YOUR PANTS,4,2011-11-01 14:35:00,2.89,14562.0,United Kingdom
565388,22189,CREAM HEART CARD HOLDER,2,2011-09-02 15:56:00,3.95,14415.0,United Kingdom
547485,22970,LONDON BUS COFFEE MUG,1,2011-03-23 11:16:00,2.55,17019.0,United Kingdom
542243,21033,JUMBO BAG CHARLIE AND LOLA TOYS,1,2011-01-26 15:00:00,2.95,17841.0,United Kingdom
581456,23395,BELLE JARDINIERE CUSHION COVER,2,2011-12-08 18:42:00,3.75,17530.0,United Kingdom
553869,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,20,2011-05-19 14:27:00,2.08,15394.0,United Kingdom
573398,22481,BLACK TEA TOWEL CLASSIC DESIGN,6,2011-10-30 15:28:00,1.25,17373.0,United Kingdom
556054,22784,LANTERN CREAM GAZEBO ,3,2011-06-08 13:26:00,4.95,14561.0,United Kingdom
559199,23285,PINK VINTAGE SPOT BEAKER,16,2011-07-07 10:28:00,0.85,15288.0,United Kingdom
573903,23535,WALL ART BICYCLE SAFETY,6,2011-11-01 14:51:00,5.95,14667.0,United Kingdom
575701,48187,DOORMAT NEW ENGLAND,4,2011-11-10 16:59:00,8.25,13396.0,United Kingdom
561926,23147,SINGLE ANTIQUE ROSE HOOK IVORY,12,2011-08-01 12:48:00,1.45,12749.0,United Kingdom
564745,84978,HANGING HEART JAR T-LIGHT HOLDER,12,2011-08-28 15:27:00,1.25,16806.0,United Kingdom
537852,22727,ALARM CLOCK BAKELIKE RED ,8,2010-12-08 15:56:00,3.75,17340.0,United Kingdom
551387,22675,FRENCH KITCHEN SIGN BLUE METAL,12,2011-04-28 11:40:00,1.25,14240.0,United Kingdom
566959,23210,WHITE ROCKING HORSE HAND PAINTED,8,2011-09-15 17:00:00,1.25,17530.0,United Kingdom
580651,23452,HEART MINI PORTRAIT FRAME,6,2011-12-05 13:32:00,1.95,16851.0,United Kingdom
553638,22282,12 EGG HOUSE PAINTED WOOD,2,2011-05-18 10:56:00,12.75,14180.0,United Kingdom
562161,21906,PHARMACIE FIRST AID TIN,1,2011-08-03 11:58:00,6.75,17841.0,United Kingdom
580669,23298,SPOTTY BUNTING,18,2011-12-05 14:25:00,4.95,15159.0,United Kingdom
565236,23251,VINTAGE RED ENAMEL TRIM MUG ,12,2011-09-02 09:45:00,1.25,14276.0,United Kingdom
542112,85152,HAND OVER THE CHOCOLATE   SIGN ,1,2011-01-25 13:55:00,2.1,13168.0,United Kingdom
540372,84674,FLYING PIG WATERING CAN,24,2011-01-06 16:41:00,1.25,13081.0,United Kingdom
576062,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,8,2011-11-13 15:30:00,0.65,12867.0,United Kingdom
580865,22650,CERAMIC PIRATE CHEST MONEY BANK,1,2011-12-06 11:58:00,1.45,17914.0,United Kingdom
538836,79403,FROSTED WHITE BASE ,1,2010-12-14 13:09:00,0.85,12748.0,United Kingdom
547541,21931,JUMBO STORAGE BAG SUKI,100,2011-03-23 15:22:00,1.65,14607.0,United Kingdom
551616,47599A,PINK PARTY BAGS,1,2011-05-03 11:40:00,2.1,15048.0,United Kingdom
543131,22260,FELT EGG COSY BLUE RABBIT ,12,2011-02-03 15:23:00,0.85,13539.0,United Kingdom
553912,22730,ALARM CLOCK BAKELIKE IVORY,4,2011-05-19 19:32:00,3.75,15122.0,United Kingdom
537755,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2010-12-08 11:31:00,2.55,16525.0,United Kingdom
550331,22564,ALPHABET STENCIL CRAFT,2,2011-04-17 13:43:00,1.25,15555.0,United Kingdom
C578367,23433,HANGING QUILTED PATCHWORK APPLES,-24,2011-11-24 11:00:00,0.83,14640.0,United Kingdom
555565,22779,WOODEN OWLS LIGHT GARLAND ,4,2011-06-05 15:06:00,4.25,15298.0,United Kingdom
553060,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2011-05-13 10:44:00,1.69,15826.0,United Kingdom
545063,21563,RED HEART SHAPE LOVE BUCKET ,1,2011-02-27 14:26:00,2.95,14606.0,United Kingdom
580298,84805A,CREAM CLIMBING HYDRANGA ART FLOWER,12,2011-12-02 13:54:00,1.25,17086.0,United Kingdom
563384,71053,WHITE METAL LANTERN,2,2011-08-16 10:52:00,3.75,17315.0,United Kingdom
580276,22633,HAND WARMER UNION JACK,9,2011-12-02 12:59:00,2.1,16426.0,United Kingdom
566976,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2011-09-16 09:27:00,2.1,15382.0,United Kingdom
567076,47504H,ENGLISH ROSE SPIRIT LEVEL ,12,2011-09-16 12:27:00,0.79,15505.0,United Kingdom
577051,23516,EMBROIDERED RIBBON REEL SOPHIE  ,1,2011-11-17 14:02:00,3.75,14034.0,United Kingdom
544455,22467,GUMBALL COAT RACK,12,2011-02-20 13:18:00,2.55,13097.0,United Kingdom
545289,22980,PANTRY SCRUBBING BRUSH,12,2011-03-01 11:55:00,1.65,14732.0,United Kingdom
559321,22356,CHARLOTTE BAG PINK POLKADOT,10,2011-07-07 14:30:00,0.85,17069.0,United Kingdom
557310,22427,ENAMEL FLOWER JUG CREAM,4,2011-06-19 15:33:00,5.95,13240.0,United Kingdom
541406,22934,BAKING MOULD EASTER EGG WHITE CHOC,3,2011-01-17 15:19:00,2.95,14657.0,United Kingdom
C543769,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,-1,2011-02-11 15:22:00,4.25,17213.0,United Kingdom
559549,23203,JUMBO BAG DOILEY PATTERNS,2,2011-07-10 15:25:00,2.08,13230.0,United Kingdom
579089,23154,SET OF 4 JAM JAR MAGNETS,2,2011-11-28 10:46:00,2.08,17920.0,United Kingdom
543468,22671,FRENCH LAUNDRY SIGN BLUE METAL,4,2011-02-08 14:45:00,1.65,14562.0,United Kingdom
566298,22423,REGENCY CAKESTAND 3 TIER,1,2011-09-11 15:52:00,12.75,14030.0,United Kingdom
580636,22217,T-LIGHT HOLDER HANGING LACE,24,2011-12-05 12:33:00,0.39,16746.0,United Kingdom
548984,85049H,URBAN BLACK RIBBONS ,2,2011-04-05 12:37:00,1.25,14546.0,United Kingdom
536409,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,1,2010-12-01 11:45:00,0.42,17908.0,United Kingdom
560646,22189,CREAM HEART CARD HOLDER,83,2011-07-20 11:28:00,2.31,18102.0,United Kingdom
553045,21054,NURSE'S BAG SOFT TOY,19,2011-05-13 09:33:00,8.95,12770.0,Japan
539642,22149,FELTCRAFT 6 FLOWER FRIENDS,2,2010-12-20 15:35:00,2.1,15867.0,United Kingdom
569568,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,6,2011-10-05 09:57:00,2.95,12700.0,France
547651,22554,PLASTERS IN TIN WOODLAND ANIMALS,1,2011-03-24 12:11:00,1.65,16904.0,United Kingdom
544304,20751,FUNKY WASHING UP GLOVES ASSORTED,3,2011-02-17 13:47:00,2.1,18125.0,United Kingdom
536587,22466,FAIRY TALE COTTAGE NIGHTLIGHT,12,2010-12-01 16:33:00,1.95,14142.0,United Kingdom
560723,22077,6 RIBBONS RUSTIC CHARM,2,2011-07-20 13:53:00,1.65,16464.0,United Kingdom
536531,22704,WRAP RED APPLES ,25,2010-12-01 13:23:00,0.42,15485.0,United Kingdom
545519,84997D,CHILDRENS CUTLERY POLKADOT PINK,4,2011-03-03 12:27:00,4.15,16159.0,United Kingdom
574107,48184,DOORMAT ENGLISH ROSE ,2,2011-11-03 10:49:00,8.25,13728.0,United Kingdom
549311,22169,FAMILY ALBUM WHITE PICTURE FRAME,2,2011-04-08 09:25:00,8.5,14924.0,United Kingdom
560251,23235,STORAGE TIN VINTAGE LEAF,1,2011-07-17 12:32:00,2.89,17774.0,United Kingdom
559305,22906,12 MESSAGE CARDS WITH ENVELOPES,4,2011-07-07 12:56:00,1.65,17892.0,United Kingdom
557305,21888,BINGO SET,1,2011-06-19 14:42:00,3.75,13568.0,United Kingdom
581412,22632,HAND WARMER RED RETROSPOT,9,2011-12-08 14:38:00,2.1,14415.0,United Kingdom
580162,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,6,2011-12-02 10:52:00,1.25,12856.0,United Kingdom
542401,20898,VINTAGE NOTEBOOK TRAVELOGUE,1,2011-01-27 15:51:00,2.95,14541.0,United Kingdom
548358,21035,SET/2 RED RETROSPOT TEA TOWELS ,6,2011-03-30 15:29:00,3.25,15832.0,United Kingdom
541269,22509,SEWING BOX RETROSPOT DESIGN ,4,2011-01-17 11:01:00,14.95,12626.0,Germany
547358,21213,PACK OF 72 SKULL CAKE CASES,5,2011-03-22 12:25:00,0.55,15998.0,United Kingdom
C562124,22698,PINK REGENCY TEACUP AND SAUCER,-1,2011-08-02 17:23:00,2.55,13081.0,United Kingdom
580283,23434,3 RAFFIA RIBBONS 50'S CHRISTMAS ,10,2011-12-02 13:20:00,0.79,16133.0,United Kingdom
555854,22435,SET OF 9 HEART SHAPED BALLOONS,10,2011-06-07 13:47:00,1.25,12748.0,United Kingdom
549577,22027,TEA PARTY BIRTHDAY CARD,12,2011-04-11 08:16:00,0.42,14286.0,United Kingdom
544463,35913B,WHITE/PINK CHICK EASTER DECORATION,1,2011-02-20 14:31:00,0.85,12988.0,United Kingdom
557118,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2011-06-16 17:05:00,3.75,14849.0,United Kingdom
562560,23185,FRENCH STYLE STORAGE JAR JAM,12,2011-08-05 17:12:00,0.29,14156.0,EIRE
556477,22960,JAM MAKING SET WITH JARS,2,2011-06-12 12:20:00,4.25,12841.0,United Kingdom
568152,22169,FAMILY ALBUM WHITE PICTURE FRAME,2,2011-09-25 11:40:00,8.5,16480.0,United Kingdom
544662,84378,SET OF 3 HEART COOKIE CUTTERS,1,2011-02-22 14:10:00,1.25,12845.0,United Kingdom
577774,22636,CHILDS BREAKFAST SET CIRCUS PARADE,2,2011-11-21 15:57:00,8.5,16712.0,United Kingdom
552951,21124,SET/10 BLUE POLKADOT PARTY CANDLES,1,2011-05-12 12:05:00,1.25,14988.0,United Kingdom
554520,22380,TOY TIDY SPACEBOY  ,1,2011-05-24 17:03:00,2.1,17841.0,United Kingdom
543379,82484,WOOD BLACK BOARD ANT WHITE FINISH,204,2011-02-07 15:37:00,4.77,18102.0,United Kingdom
569573,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,48,2011-10-05 10:11:00,1.45,17511.0,United Kingdom
557957,23208,LUNCH BAG VINTAGE LEAF DESIGN,7,2011-06-23 19:20:00,1.65,13969.0,United Kingdom
549958,22523,CHILDS GARDEN FORK PINK,3,2011-04-13 13:47:00,0.85,17589.0,United Kingdom
552823,47504K,ENGLISH ROSE GARDEN SECATEURS,3,2011-05-11 13:06:00,1.95,14731.0,United Kingdom
557776,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2011-06-22 15:07:00,0.95,14422.0,United Kingdom
544673,20766,GARDEN PATH SKETCHBOOK,1,2011-02-22 15:46:00,3.75,13421.0,United Kingdom
542058,21700,BIG DOUGHNUT FRIDGE MAGNETS,24,2011-01-25 11:59:00,0.85,15601.0,United Kingdom
539225,21358,TOAST ITS - HAPPY BIRTHDAY,12,2010-12-16 13:02:00,1.25,15379.0,United Kingdom
554866,21936,RED RETROSPOT PICNIC BAG,5,2011-05-27 10:41:00,2.95,13488.0,United Kingdom
544450,22202,MILK PAN PINK POLKADOT,1,2011-02-20 12:23:00,3.75,17811.0,United Kingdom
544801,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,3,2011-02-23 13:48:00,4.95,16145.0,United Kingdom
575708,23548,WRAP MAGIC FOREST ,25,2011-11-10 17:17:00,0.42,13460.0,United Kingdom
572023,23516,EMBROIDERED RIBBON REEL SOPHIE  ,12,2011-10-20 11:03:00,3.75,17764.0,United Kingdom
559141,15056N,EDWARDIAN PARASOL NATURAL,2,2011-07-06 13:56:00,5.95,15311.0,United Kingdom
541880,21213,PACK OF 72 SKULL CAKE CASES,120,2011-01-24 10:38:00,0.42,13819.0,United Kingdom
572286,23534,WALL ART STOP FOR TEA ,1,2011-10-23 12:18:00,5.95,16434.0,United Kingdom
543281,20615,BLUE POLKADOT PASSPORT COVER,1,2011-02-06 15:34:00,2.1,14606.0,United Kingdom
